customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
8286-ACNG,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,100.45,2086.53
4788-GVED,Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.94,3253.58
4594-CKQG,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.48,2442.71
9138-DTFK,Male,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.97,2850.11
6046-DBUP,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.94,1186.78
7283-KFZK,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.15,3320.59
6309-UXLE,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,78.4,3019.53
1641-KNMA,Female,0,Yes,No,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.18,3860.19
1424-VWGO,Male,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.2,3264.95
6279-SVKM,Male,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),30.56,914.91
3757-BYPA,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.9,2937.1
7780-IHFA,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,102.61,3407.54
9948-SSYG,Female,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,74.37,863.57
8378-YRME,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),89.01,261.87
7505-TVVD,Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.95,926.48
5167-TBRQ,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),101.76,1509.24
9482-DONW,Male,0,No,Yes,47,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.79,5144.04
8981-KIAE,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.7,3755.64
2540-OWCZ,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),97.23,1375.17
5589-ZCIC,Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,89.32,5888.11
4129-ZALH,Male,1,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,100.08,1185.97
8164-GGBD,Male,0,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),83.38,2987.15
3074-OPIB,Male,0,Yes,No,34,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,74.77,2352.24
2588-GBQQ,Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.0,445.92
1967-PPBI,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,493.01
8711-OGTG,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.08,3056.35
1513-EXDJ,Female,1,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.25,2185.29
1407-OZQS,Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.89,839.93
1578-ZGEO,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.85,1175.05
9546-ICPT,Female,0,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,78.12,783.24
4969-SYRG,Male,0,Yes,Yes,43,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.83,2048.29
7487-QGFM,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),98.87,366.6
5103-MBHA,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.53,3421.74
2565-HNZO,Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.32,3090.34
2380-ZLML,Female,0,Yes,No,15,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.41,1108.2
7320-KPUB,Female,0,No,Yes,44,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.26,3512.36
5369-VBHS,Male,0,No,No,22,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,72.69,1560.2
3110-SWBG,Female,1,No,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.74,4488.72
4596-EFCV,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.31,2230.77
6489-HOSF,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.48,3552.01
3012-AVHJ,Female,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.78,914.85
1727-JXHP,Female,0,Yes,No,43,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.55,3523.92
9293-ALVH,Male,0,No,No,16,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,68.89,1020.4
6737-AIWU,Female,0,Yes,Yes,57,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.6,4432.13
1311-LIGS,Male,0,Yes,No,16,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),79.89,1292.02
7776-LALE,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,84.76,1118.98
4446-BFVE,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,69.41,2908.09
7330-OBIQ,Male,0,No,No,63,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.99,5107.36
4022-VVAG,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),101.06,4142.83
1492-KLRK,Female,0,Yes,No,33,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.11,2200.56
2910-EWKU,Male,0,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.11,3853.64
2980-RHHR,Female,0,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),114.62,5049.92
3509-ROZM,Male,0,No,No,43,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),67.84,3005.36
6450-QXYR,Male,0,No,No,2,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,67.66,131.55
4827-NJKU,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.79,547.43
5014-ZSEO,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),86.61,2788.95
4062-PDDK,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,94.75,761.93
8878-AGPV,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.28,798.7
3736-IMII,Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.44,1174.43
3729-ORMI,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,96.09,4765.05
9918-ILIQ,Male,1,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),83.56,2892.51
9182-JXHI,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,57.61,162.73
2263-XKEB,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,96.98,3345.33
9316-ZEEB,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.74,4131.54
9898-NTWW,Male,0,Yes,No,43,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.84,3495.97
8340-PHVN,Female,1,Yes,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,89.76,2291.15
3826-TIMA,Female,0,No,No,20,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.79,1682.48
1724-CMHH,Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.22,5044.95
1590-RMGS,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.86,85.16
9337-LDBF,Male,0,Yes,No,10,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.45,908.87
2273-JTGQ,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.22,908.67
5551-QSIF,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),95.63,1501.01
9705-AIRJ,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),100.6,585.91
3834-FXUZ,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),83.55,247.03
5258-DLMF,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.4,884.99
3801-ZXFH,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.3,1436.44
2449-KJUX,Male,0,No,No,25,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),76.24,1784.79
2949-QDZO,Male,0,No,Yes,30,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.84,2032.08
3347-RQVU,Male,1,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,94.39,922.65
7322-GZXO,Female,0,No,No,45,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,91.33,3945.05
9487-ATYE,Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.61,4471.94
8701-TIYB,Female,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,100.81,3169.81
9639-SFYE,Male,1,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,97.66,2125.1
7773-HTNM,Female,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.8,446.44
2870-QTWP,Male,0,No,No,53,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.2,3691.79
5951-GYVR,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,98.74,95.59
2231-WADZ,Female,0,Yes,No,12,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.15,870.6
7862-SYNA,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),97.0,1116.4
3786-BVSD,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,92.5,1884.9
5301-XMWZ,Female,0,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.12,972.71
5857-ESUZ,Male,0,No,No,22,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.36,1690.91
2447-YPHH,Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.98,199.02
4672-KGKI,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.73,1082.32
7530-ZWZA,Male,0,No,No,20,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.08,1387.56
4627-WOYT,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.78,989.3
1357-GQJQ,Female,0,Yes,No,52,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.38,4126.44
9988-IEWL,Male,0,No,Yes,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.81,3668.94
7562-WTKC,Female,1,No,No,2,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,77.01,148.16
1980-FZXR,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,78.92,2139.2
8698-LNVF,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.88,170.12
1561-OBJD,Female,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,98.38,1056.18
4830-RFZY,Male,0,Yes,Yes,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.29,411.86
3946-MJXW,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),85.56,745.0
1522-ALQB,Male,1,Yes,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,83.13,1572.03
8006-OBVD,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.51,1014.68
9876-SIVE,Male,1,No,No,18,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,84.59,1398.32
1889-ZLYA,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),94.89,2818.14
6859-CIUP,Female,0,No,Yes,54,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.45,4553.97
